epoch,loss_19,mAP_19,val_loss_19,loss_16,mAP_16,val_loss_16,classification_loss_152,loss_152,mAP_152,regression_loss_152,val_classification_loss_152,val_loss_152,val_regression_loss_152,classification_loss_101,loss_101,mAP_101,regression_loss_101,val_classification_loss_101,val_loss_101,val_regression_loss_101,classification_loss_50,loss_50,mAP_50,regression_loss_50,val_classification_loss_50,val_loss_50,val_regression_loss_50
0,1.846182823,0.214535321,2.418734503,2.513692617,0.114535321,2.718734503,0.96407485,3.513692617,0.072333895,2.549616098,0.836078048,3.218734503,2.382655621,1.012107611,3.681132793,0.100489381,2.669023752,0.821599603,3.409514666,2.587914228,1.058477283,3.727638006,0.114535321,2.669159651,0.69940275,3.249327421,2.549925804
1,1.646182823,0.3826548,2.068947077,2.126978874,0.226548,3.068947077,0.947183371,3.126978874,0.185615544,2.179795742,1.062718749,3.068947077,2.006228924,0.773551166,3.368983269,0.182122218,2.59543252,0.684734881,3.144377708,2.459642887,0.598203361,3.14094758,0.266295594,2.542743921,0.468184233,3.008232832,2.540048599
2,1.446182823,0.496295594,1.534521389,1.846182823,0.396295594,2.534521389,0.846970141,2.846182823,0.192477301,1.99921298,0.449413568,2.234521389,1.785108447,1.034404397,3.40690279,0.51527977,2.372499704,1.107977152,3.439277411,2.331300974,0.664450049,3.051527977,0.366295594,2.387078285,1.114650607,3.33680439,2.22215414
3,1.329590797,0.608829555,1.286455727,1.329590797,0.588295546,2.286455727,0.544632316,2.329590797,0.292477301,1.784959316,0.456176162,2.186455727,1.730279922,1.100084424,3.438345432,0.637186551,2.338260889,1.085035563,3.353907108,2.268870354,1.106816888,3.371865511,0.498295546,2.265049458,1.097185493,3.237504959,2.140319347
4,1.340225267,0.673333034,1.182698584,1.040225267,0.673333034,2.182698584,0.409843355,2.040225267,0.492477301,1.630380392,0.406314462,2.082698584,1.676383853,0.796215892,2.920275211,0.71908896,2.124058962,0.523645222,2.693813086,2.1701684,0.970012426,3.128297091,0.673333034,2.158283949,0.524045825,2.779559135,2.255513191
5,1.284881616,0.698795353,0.978265488,1.384881616,0.728795353,1.782654881,0.34463203,1.884881616,0.515401422,1.540249348,0.312045723,1.782654881,1.470608711,0.496094465,2.461748838,0.752222795,1.965654016,0.504967511,2.449205399,1.944238186,0.597419143,2.616142273,0.728795353,2.018723249,0.481813788,2.412969351,1.931156158
6,1.2808918,0.700574139,0.975639987,1.808917999,0.760574139,1.75639987,0.330507576,1.808917999,0.452158245,1.478411913,0.314407021,1.75639987,1.44199264,0.611963868,2.611317635,0.781350386,1.999353051,0.519771576,2.491387844,1.971615314,1.063623071,2.935038567,0.760574139,1.871415377,1.08534503,2.99299407,1.907649279
7,1.217289555,0.763694013,0.976911008,1.728955507,0.763694013,1.769110084,0.313803971,1.728955507,0.45008245,1.415150762,0.302574486,1.769110084,1.466535807,1.036400318,2.938102961,0.801919365,1.901702285,1.064444065,2.879199505,1.814755678,1.078208089,3.019193649,0.763694013,1.940986037,1.073498249,2.796912193,1.723413944
8,1.201671627,0.761937387,0.974995661,1.616716266,0.781937387,1.749956608,0.279985815,1.616716266,0.450853364,1.336732149,0.263179004,1.749956608,1.486777186,0.84723711,2.696583748,0.826368313,1.849346757,0.500218689,2.356960535,1.856742501,1.06786406,2.963683128,0.781937387,1.895819068,1.060179234,2.789779425,1.729601026
9,1.160587406,0.779666245,0.948971319,1.605874062,0.779666245,1.489713192,0.28418842,1.605874062,0.652179003,1.321686387,0.240896285,1.489713192,1.248816967,0.759974957,2.521790028,0.837169871,1.76181519,1.066583276,2.865038872,1.798456073,1.017119288,2.737176895,0.779666245,1.720057726,0.702425897,2.56206274,1.859637022
10,1.15291661,0.781744507,0.95294379,1.529166102,0.781744507,1.5294379,0.286773562,1.529166102,0.759605408,1.242391825,0.260066897,1.5294379,1.269370914,1.058837533,2.759605408,0.851513786,1.700768709,1.054212451,2.736075163,1.681862473,0.58385253,2.315137863,0.781744507,1.731284976,1.050798059,2.715344429,1.66454649
11,1.047962809,0.799977309,0.961648881,1.479628086,0.799977309,1.616488814,0.254064679,1.479628086,0.75103116,1.225563765,0.245034069,1.616488814,1.371454835,1.046934247,2.75103116,0.875657265,1.704097033,1.041364193,2.766114712,1.7247504,1.050351739,2.565726519,0.799977309,1.515375376,1.050724149,2.560442448,1.509718776
12,1.047992361,0.781060311,0.949039066,1.479923606,0.810603107,1.490390658,0.247491539,1.479923606,0.876563025,1.232432127,0.238555253,1.490390658,1.251835823,1.033531308,2.676563025,0.885016456,1.643031597,1.022255063,2.609307766,1.587053061,1.051252842,2.501645565,0.810603107,1.450392604,1.049656153,2.525494099,1.475838184
13,0.998152391,0.746235657,0.954898405,1.44152391,0.816235657,1.548984051,0.242766663,1.44152391,0.881763392,1.198757529,0.318712622,1.548984051,1.230271459,0.881431758,2.488415003,0.899803305,1.606982708,0.424004823,2.04883194,1.624827385,1.049672484,2.499803305,0.816235657,1.45013082,1.048580647,2.511814356,1.463234067
14,0.994451675,0.758064851,0.946235001,1.344516754,0.798064851,1.462350011,0.229976475,1.344516754,0.898898,1.114540577,0.249620706,1.462350011,1.212729096,0.444988906,2.049276352,0.89444021,1.604287386,1.198730588,2.822765112,1.624034166,1.047681332,2.444020987,0.798064851,1.396340013,1.047500968,2.518584967,1.471084237
15,0.950337625,0.85383345,0.945007312,1.350337625,0.82383345,1.450073123,0.232752994,1.350337625,0.905604029,1.117584825,0.232850984,1.450073123,1.217222214,1.020380497,2.505604029,0.897134686,1.485224128,1.008416176,2.594958544,1.586541891,1.046856046,2.471346855,0.82383345,1.424491405,1.04641223,2.472701788,1.426289797
16,0.971836104,0.894483597,0.937223399,1.318361044,0.874483597,1.372233987,0.223502412,1.318361044,0.914975309,1.09485805,0.214080125,1.372233987,1.158154607,0.99976939,2.514975309,0.906265936,1.515206456,0.982269645,2.636326075,1.654056907,1.045381069,2.462659359,0.814483597,1.417278409,1.046226621,2.450569391,1.404343009
17,0.957380562,0.913779126,0.934653926,1.273805618,0.933779126,1.346539259,0.210015297,1.273805618,0.935776438,1.063789845,0.211576104,1.346539259,1.134963036,0.766236067,2.194209337,0.904586334,1.427973032,0.753436565,2.213440895,1.460003972,1.048210502,2.345863342,0.833779126,1.297653079,1.046122313,2.458225727,1.412102818
18,0.922671244,0.928064231,0.93602562,1.267124386,0.938064231,1.360256195,0.22076945,1.297124386,0.942132547,1.076354742,0.215614557,1.360256195,1.144641757,0.421434402,1.910910964,0.912781761,1.4894768,0.41462642,2.067527771,1.652901292,1.035854578,2.278176069,0.838064231,1.242321134,1.046015501,2.452414751,1.406398296
19,0.958929379,0.923893656,0.927441263,1.189293785,0.933893656,1.274412632,0.2125213,1.269293785,0.953608205,1.056771755,0.215704054,1.274412632,1.058708906,0.443633884,1.97090435,0.903687356,1.527270079,0.364182025,1.73167944,1.367497444,1.046616554,2.368735552,0.833893656,1.322118998,1.045908332,2.455118656,1.409210205
20,0.935751752,0.947973296,0.926181543,1.157517524,0.957973296,1.261815429,0.20100306,1.187517524,0.953608205,0.986514568,0.200680941,1.261815429,1.061134696,0.443633884,1.97090435,0.917176895,1.527270079,0.364182025,1.73167944,1.367497444,1.046458244,2.485038519,0.857973296,1.438580632,1.045801282,2.455269814,1.409467936
21,0.914017072,0.941340797,0.92906791,1.114017072,0.951340797,1.290679097,0.199442431,1.174017072,0.953608205,0.974574566,0.21190685,1.290679097,1.078772426,0.443633884,1.97090435,0.915137863,1.527270079,0.364182025,1.73167944,1.367497444,1.045379639,2.45601964,0.851340797,1.410640121,1.045783639,2.451265335,1.405481815
22,0.897888613,0.948769135,0.927496278,1.097888613,0.958769135,1.274962783,0.199034631,1.197888613,0.953608205,0.998854399,0.194295824,1.274962783,1.080667257,0.443633884,1.97090435,0.925601964,1.527270079,0.364182025,1.73167944,1.367497444,1.047089815,2.386673212,0.858769135,1.33958292,1.045773745,2.450393915,1.404620409
23,0.857905521,0.939171838,0.933121944,1.057905521,0.949171838,1.331219435,0.211074844,1.179055214,0.953608205,0.967979431,0.242671862,1.331219435,1.088547468,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.849171838,1.389229774,1.045763731,2.449864626,1.404101372
24,0.840139723,0.944221098,0.913774204,1.013972294,0.934221098,1.137742043,0.193573132,1.139722943,0.953608205,0.946150005,0.211929262,1.377420425,1.165490746,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.834221098,1.389229774,1.045763731,2.449864626,1.404101372
25,0.800497794,0.957016248,0.91730528,1.004977944,0.947016248,1.173052796,0.193234563,1.149779439,0.953608205,0.95654434,0.215511009,1.305279613,1.089768529,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.847016248,1.389229774,1.045763731,2.449864626,1.404101372
26,0.765745149,0.961791663,0.927092731,1.057451487,0.951791663,1.027092731,0.167937964,1.057451487,0.953608205,0.889512837,0.199464142,1.27092731,1.071462393,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.851791663,1.389229774,1.045763731,2.449864626,1.404101372
27,0.755701969,0.969327332,0.92172159,0.995701969,0.959327332,1.02172159,0.16576454,0.995701969,0.953608205,0.829937577,0.195788771,1.217215896,1.021427631,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.859327332,1.389229774,1.045763731,2.449864626,1.404101372
28,0.750505042,0.964993607,0.882072108,0.950505042,0.954993607,0.982072108,0.176431507,1.050505042,0.953608205,0.874073744,0.192783087,1.207210779,1.014427423,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.854993607,1.389229774,1.045763731,2.449864626,1.404101372
29,0.732516458,0.982589914,0.861439419,0.992516458,0.962589914,0.961439419,0.162818953,0.992516458,0.953608205,0.829697192,0.190957665,1.161439419,0.970481336,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.862589914,1.389229774,1.045763731,2.449864626,1.404101372
30,0.722329758,0.984130888,0.86334915,0.923297577,0.964130888,0.916334915,0.167410582,0.993297577,0.953608205,0.825887084,0.188252553,1.163349152,0.975096703,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.864130888,1.389229774,1.045763731,2.449864626,1.404101372
31,0.70158,0.993753985,0.86557562,0.881186628,0.957287283,0.920743775,0.165106758,0.981186628,0.953608205,0.816079795,0.190651432,1.207437754,1.016787052,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.857287283,1.389229774,1.045763731,2.449864626,1.404101372
32,0.70158,0.993753985,0.86557562,0.846294022,0.958101825,0.92176615,0.156770512,0.962940216,0.953608205,0.806169271,0.191148549,1.2176615,1.026512623,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.858101825,1.389229774,1.045763731,2.449864626,1.404101372
33,0.70158,0.993753985,0.86557562,0.815822985,0.96802442,0.915977681,0.161898494,0.975822985,0.953608205,0.813925028,0.189126506,1.159776807,0.970650077,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.86802442,1.389229774,1.045763731,2.449864626,1.404101372
34,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.172742859,1.01273036,0.953608205,0.839987516,0.190042809,1.191315174,1.001271963,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.857441064,1.389229774,1.045763731,2.449864626,1.404101372
35,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.173957676,0.967255175,0.953608205,0.793296635,0.187232733,1.164536119,0.977303505,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.862674503,1.389229774,1.045763731,2.449864626,1.404101372
36,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.156087726,0.94705987,0.953608205,0.79097259,0.190798953,1.151710272,0.960911214,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.857083797,1.389229774,1.045763731,2.449864626,1.404101372
37,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.160256401,0.981127799,0.953608205,0.820871115,0.188853413,1.184271812,0.99541831,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.861686506,1.389229774,1.045763731,2.449864626,1.404101372
38,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.166141495,0.997331262,0.953608205,0.831190288,0.18802993,1.184491396,0.996462166,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.860933049,1.389229774,1.045763731,2.449864626,1.404101372
39,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.184908062,1.006179094,0.953608205,0.821271896,0.188696325,1.206692338,1.017996073,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863598197,1.389229774,1.045763731,2.449864626,1.404101372
40,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.168172985,0.961504579,0.953608205,0.793331444,0.191148549,1.190292239,0.99914366,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.862930123,1.389229774,1.045763731,2.449864626,1.404101372
41,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.167243361,0.973342121,0.953608205,0.806098998,0.18794623,1.166139007,0.978192627,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863912608,1.389229774,1.045763731,2.449864626,1.404101372
42,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.152592078,0.898528516,0.953608205,0.745936632,0.188110605,1.169034243,0.980923891,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863775809,1.389229774,1.045763731,2.449864626,1.404101372
43,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.170122445,0.990273535,0.953608205,0.820151746,0.188474566,1.176147223,0.987672925,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863365448,1.389229774,1.045763731,2.449864626,1.404101372
44,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.165430412,0.946039736,0.953608205,0.780609369,0.188774407,1.174774051,0.985999823,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863307135,1.389229774,1.045763731,2.449864626,1.404101372
45,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.155909523,0.914155781,0.953608205,0.758246064,0.188708037,1.164474607,0.975766778,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.864239383,1.389229774,1.045763731,2.449864626,1.404101372
46,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.168096349,0.959126234,0.953608205,0.791029572,0.188567147,1.166744471,0.978177369,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.86376468,1.389229774,1.045763731,2.449864626,1.404101372
47,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.167137772,0.955490887,0.953608205,0.78835386,0.188538641,1.165970087,0.977431297,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863624388,1.389229774,1.045763731,2.449864626,1.404101372
48,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.160288379,0.917705774,0.953608205,0.757417917,0.188560635,1.166205645,0.977645278,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863726424,1.389229774,1.045763731,2.449864626,1.404101372
49,0.70158,0.993753985,0.86557562,0.80158,0.983753985,0.906557562,0.156322375,0.919249296,0.953608205,0.762926936,0.188470334,1.165575624,0.977105737,0.443633884,1.97090435,0.928467,1.527270079,0.364182025,1.73167944,1.367497444,1.043014526,2.432244062,0.863753985,1.389229774,1.045763731,2.449864626,1.404101372
